city,lat,lon
"Albuquerque, NM",35.0843859,-106.650422
"Anaheim, CA",33.8365932,-117.9143012
"Anchorage, AK",61.2180556,-149.9002778
"Arlington, TX",32.735687,-97.1080656
"Arlington, VA",38.8799697,-77.1067698
"Atlanta, GA",33.7489954,-84.3879824
"Aurora, CO",39.7294319,-104.8319195
"Austin, TX",30.267153,-97.7430608
"Bakersfield, CA",35.3732921,-119.0187125
"Baltimore, MD",39.2903848,-76.6121893
"Baton Rouge, LA",30.4514677,-91.1871466
"Boise, ID",43.6150186,-116.2023137
"Boston, MA",42.3600825,-71.0588801
"Buffalo, NY",42.8864468,-78.8783689
"Chandler, AZ",33.3061605,-111.8412502
"Charlotte/Mecklenburg, NC",35.2270869,-80.8431267
"Chesapeake, VA",36.7682088,-76.2874927
"Chicago, IL",41.8781136,-87.6297982
"Chula Vista, CA",32.6400541,-117.0841955
"Cincinnati, OH",39.1031182,-84.5120196
"Cleveland, OH",41.49932,-81.6943605
"Colorado Springs, CO",38.8338816,-104.8213634
"Columbus, OH",39.9611755,-82.9987942
"Corpus Christi, TX",27.8005828,-97.396381
"Dallas, TX",32.7766642,-96.7969879
"Denver, CO",39.7392358,-104.990251
"Des Moines, IA",41.5868353,-93.6249593
"Detroit, MI",42.331427,-83.0457538
"Durham, NC",35.9940329,-78.898619
"El Paso, TX",31.7618778,-106.4850217
"Fort Wayne, IN",41.079273,-85.1393513
"Fort Worth, TX",32.7554883,-97.3307658
"Fremont, CA",37.5485396,-121.988583
"Fresno, CA",36.7377981,-119.7871247
"Garland, TX",32.912624,-96.6388833
"Gilbert, AZ",33.3528264,-111.789027
"Glendale, AZ",33.5386523,-112.1859866
"Greensboro, NC",36.0726354,-79.7919754
"Henderson, NV",36.0395247,-114.9817213
"Hialeah, FL",25.8575963,-80.2781057
"Honolulu, HI",21.3069444,-157.8583333
"Houston, TX",29.7604267,-95.3698028
"Indianapolis, IN",39.768403,-86.158068
"Irvine, CA",33.6845673,-117.8265049
"Irving, TX",32.8140177,-96.9488945
"Jacksonville, FL",30.3321838,-81.655651
"Jersey City, NJ",40.7177545,-74.0431435
"Kansas City, MO",39.0997265,-94.5785667
"Laredo, TX",27.5035613,-99.5075519
"Las Vegas, NV",36.1699412,-115.1398296
"Lexington/Fayette, KY",38.0405837,-84.5037164
"Lincoln, NE",40.813616,-96.7025955
"Long Beach, CA",33.7700504,-118.1937395
"Los Angeles, CA",34.0522342,-118.2436849
"Louisville, KY",38.2526647,-85.7584557
"Lubbock, TX",33.5778631,-101.8551665
"Madison, WI",43.0730517,-89.4012302
"Memphis, TN",35.1495343,-90.0489801
"Mesa, AZ",33.4151843,-111.8314724
"Miami, FL",25.7616798,-80.1917902
"Milwaukee, WI",43.0389025,-87.9064736
"Minneapolis, MN",44.977753,-93.2650108
"Nashville/Davidson, TN",36.1626638,-86.7816016
"New Orleans, LA",29.9510658,-90.0715323
"New York, NY",40.7127753,-74.0059728
"Newark, NJ",40.735657,-74.1723667
"Norfolk, VA",36.8507689,-76.2858726
"North Las Vegas, NV",36.1988592,-115.1175013
"Oakland, CA",37.8043514,-122.2711639
"Oklahoma City, OK",35.4675602,-97.5164276
"Omaha, NE",41.2565369,-95.9345034
"Orlando, FL",28.5383355,-81.3792365
"Philadelphia, PA",39.9525839,-75.1652215
"Phoenix, AZ",33.4483771,-112.0740373
"Pittsburgh, PA",40.4406248,-79.9958864
"Plano, TX",33.0198431,-96.6988856
"Portland, OR",45.5051064,-122.6750261
"Raleigh, NC",35.7795897,-78.6381787
"Reno, NV",39.5296329,-119.8138027
"Riverside, CA",33.9806005,-117.3754942
"Sacramento, CA",38.5815719,-121.4943996
"San Antonio, TX",29.4241219,-98.4936282
"San Diego, CA",32.715738,-117.1610838
"San Francisco, CA",37.7749295,-122.4194155
"San Jose, CA",37.3382082,-121.8863286
"Santa Ana, CA",33.7454725,-117.867653
"Scottsdale, AZ",33.4941704,-111.9260519
"Seattle, WA",47.6062095,-122.3320708
"St. Louis, MO",38.6270025,-90.1994042
"St. Paul, MN",44.9537029,-93.0899578
"St. Petersburg, FL",27.7676008,-82.6402915
"Stockton, CA",37.9577016,-121.2907796
"Tampa, FL",27.950575,-82.4571776
"Toledo, OH",41.6528052,-83.5378674
"Tucson, AZ",32.2226066,-110.9747108
"Tulsa, OK",36.1539816,-95.992775
"Virginia Beach, VA",36.8529263,-75.977985
"Washington, DC",38.9071923,-77.0368707
"Wichita, KS",37.6871761,-97.330053
"Winston-Salem, NC",36.0998596,-80.244216
